Country,Total_Cases2021,Total_deaths_2021,Population,%Infection_of_Total_Population,Averager_yearly_temperature,Airline_Passengers,population_density,median_age,aged_65_older%,aged_70_older%,hospital_beds_per_thousand,human_development_index,Tobacco use (% of adults)
Saudi Arabia,270768,2654,35997107,0.0101,26.18,26990000,15.32,31.9,0.03,0.02,2.7,0.85,0.14
Azerbaijan,209454,5717,10093121,0.0217,13.76,550000,119.31,32.4,0.06,0.04,4.7,0.76,0.24
Israel,3379744,4918,9215100,0.0459,20.41,1250000,402.61,30.6,0.12,0.07,2.99,0.92,0.212
Armenia,101046,5149,2805608,0.0568,8.43,50000,102.93,35.7,0.11,0.08,4.2,0.78,0.26
Panama,527858,3406,4294396,0.0575,25.9,3070000,55.13,29.7,0.08,0.05,2.3,0.82,0.05
Lithuania,763947,5597,2794885,0.0519,8.96,40000,45.14,43.5,0.19,0.14,6.56,0.88,0.32
Afghanistan,49475,5167,38972230,0.0013,12.88,450000,54.42,18.6,0.03,0.01,0.5,0.51,0.233
Costa Rica,591131,5168,5123105,0.0331,25.08,460000,96.08,33.6,0.09,0.06,1.13,0.81,0.088
Ethiopia,77659,5014,117190911,0.0011,23.38,4940000,104.96,19.8,0.04,0.02,0.3,0.49,0.051
Algeria,52796,3520,43451666,0.0023,23.79,1460000,17.35,29.1,0.06,0.04,1.9,0.75,0.21
Ireland,899109,3675,4985382,0.0184,9.79,54580000,69.87,38.7,0.14,0.09,2.96,0.96,0.208
Libya,118408,4232,6653942,0.0151,22.63,720000,3.62,29,0.04,0.03,3.7,0.72,0
Slovenia,843394,2892,2102419,0.0581,10.55,80000,102.62,44.5,0.19,0.13,4.5,0.92,0.22
Belarus,294927,4154,9379952,0.0207,9.09,1230000,46.86,40.3,0.15,0.1,11,0.82,0.305
Kenya,47471,3708,51985780,0.0019,25.43,1870000,87.32,20,0.03,0.02,1.4,0.6,0.111
Venezuela,105887,4300,28490453,0.004,25.93,280000,36.25,29,0.07,0.04,0.8,0.71,0
Zimbabwe,46723,4641,15669666,0.0009,21.92,320000,42.73,19.6,0.03,0.02,1.7,0.57,0.117
China,1840903,157,1411100000,0.0001,7.89,417260000,147.67,38.7,0.11,0.06,4.34,0.76,0.256
Latvia,697156,3935,1900449,0.0215,8.56,1320000,31.21,43.9,0.2,0.14,5.57,0.87,0.37
Oman,93665,2617,4543399,0.0284,27.82,2500000,14.98,30.7,0.02,0.02,1.6,0.81,0.08
El Salvador,79840,2497,6292731,0.0073,25.79,810000,307.81,27.6,0.08,0.05,1.3,0.67,0.079
Zambia,80151,3346,18927715,0.0011,22.03,10000,23,17.7,0.02,0.02,2,0.58,0.144
Sudan,17168,1863,44440486,0.0006,27.42,390000,23.26,19.7,0.04,0.02,0.8,0.51,0
Uganda,29248,3043,44404611,0.0008,23.37,10000,213.76,16.4,0.02,0.01,0.5,0.54,0.084
Denmark,2583439,1969,5831404,0.028,10.04,14040000,136.52,42.3,0.2,0.12,2.5,0.94,0.175
Albania,123582,2036,2837849,0.0205,13.1,120000,104.87,38,0.13,0.09,2.89,0.8,0.224
Cambodia,18091,3012,16396860,0,27.9,610000,90.67,25.6,0.04,0.02,0.8,0.59,0.211
Kuwait,245612,1534,4360444,0.0345,26.89,1820000,232.13,33.7,0.02,0.01,2,0.81,0.179
Malawi,13145,2175,19377061,0.0003,22.8,0,197.52,18.1,0.03,0.02,1.3,0.48,0.108
Australia,10706211,1344,25655289,0.0011,22.57,23630000,3.2,37.9,0.16,0.1,3.84,0.94,0.136
United Arab Emirates,285071,1495,9287289,0.0224,28.38,26120000,112.44,34,0.01,0.01,1.2,0.89,0
Mozambique,41890,1840,31178239,0.0006,24.61,330000,37.73,17.7,0.03,0.02,0.7,0.46,0.143
Mongolia,314645,1985,3294335,0.0004,1.53,140000,1.98,28.6,0.04,0.02,7,0.74,0.294
Cameroon,14626,1403,26491087,0.001,25.22,40000,50.89,18.8,0.03,0.02,1.3,0.56,0.073
Finland,1167376,1122,5529543,0.0066,4.11,3500000,18.14,42.8,0.21,0.13,3.28,0.94,0.216
Uzbekistan,50314,871,34232050,0.0023,13.9,930000,76.13,28.2,0.04,0.03,4,0.72,0.176
